mmsi,vessel_name,flag,vessel_type,length_m,gear_type,total_visits,total_hours_in_mpa,mean_speed_knots,max_speed_knots,speed_std_knots,visits_with_fishing,visits_with_dark_periods,total_violations,weighted_violations,critical_count,high_count,medium_count,low_count,violation_types,dark_events,total_dark_hours,avg_dark_hours,gap_events,total_gap_hours,violation_score,dark_vessel_score_norm,fishing_score,repeat_visit_score,anomaly_score,is_anomaly,flag_state_risk,composite_risk_score,risk_category
235000820,BRISAN,GBR,SET_GILLNETS,,,1,45.32166666666668,0.0,0.0,0,1,1,6,2.1,0,0,6,0,ILLEGAL_FISHING,5,7162.231944444445,0.0,5,7162.231944444445,0.21000000000000002,1.0,0.2266083333333334,0.1,0.0,0,0.25,0.2962,MEDIUM
257566000,Unknown,NOR,OTHER_PURSE_SEINES,,,1,44.26083333333335,0.0,0.0,0,1,1,6,2.1,0,0,6,0,ILLEGAL_FISHING,5,7163.115972222222,0.0,5,7163.115972222222,0.21000000000000002,1.0,0.22130416666666675,0.1,0.0,0,0.25,0.2948,MEDIUM
311071800,HAVILA COMMANDER,BHS,OTHER_PURSE_SEINES,,,1,21.754166666666666,0.0,0.0,0,1,1,3,1.05,0,0,3,0,ILLEGAL_FISHING,2,5793.497222222222,0.0,2,5793.497222222222,0.10500000000000001,1.0,0.10877083333333333,0.1,0.0,0,0.55,0.2907,MEDIUM
258637000,ROGNE,NOR,OTHER_PURSE_SEINES,,,1,41.97138888888889,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6974.422888888889,0.0,4,6974.422888888889,0.175,1.0,0.20985694444444444,0.1,0.0,0,0.25,0.285,MEDIUM
258654000,KINGS BAY,NOR,OTHER_PURSE_SEINES,,,1,41.956388888888895,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6974.434888888889,0.0,4,6974.434888888889,0.175,1.0,0.20978194444444448,0.1,0.0,0,0.25,0.2849,MEDIUM
257250000,ROEDHOLMEN,NOR,FISHING,,,1,41.458333333333336,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6974.833333333333,0.0,4,6974.833333333333,0.175,1.0,0.20729166666666668,0.1,0.0,0,0.25,0.2843,MEDIUM
232006590,EDER SANDS,GBR,FISHING,,,1,39.704444444444455,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6976.236444444445,0.0,4,6976.236444444445,0.175,1.0,0.19852222222222227,0.1,0.0,0,0.25,0.2821,MEDIUM
431893000,TOEI MARU NO.8,JPN,DRIFTING_LONGLINES,,,1,31.58527777777779,0.0,0.0,0,1,1,4,1.4,0,0,4,0,ILLEGAL_FISHING,3,6528.311041666667,0.0,3,6528.311041666667,0.13999999999999999,1.0,0.15792638888888896,0.1,0.0,0,0.35,0.28,MEDIUM
432990000,FUKUEI MARU NO.58,JPN,DRIFTING_LONGLINES,,,1,30.539999999999996,0.0,0.0,0,1,1,4,1.4,0,0,4,0,ILLEGAL_FISHING,3,6529.095,0.0,3,6529.095,0.13999999999999999,1.0,0.15269999999999997,0.1,0.0,0,0.35,0.2787,MEDIUM
246274000,Unknown,NLD,TRAWLERS,,,1,42.73194444444445,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6973.814444444444,0.0,4,6973.814444444444,0.175,1.0,0.21365972222222226,0.1,0.0,0,0.2,0.2784,MEDIUM
250003397,WESTERN VIKING,IRL,TRAWLERS,,,1,36.64722222222222,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6978.682222222223,0.0,4,6978.682222222223,0.175,1.0,0.1832361111111111,0.1,0.0,0,0.25,0.2783,MEDIUM
232047253,ALTAIRE,GBR,TRAWLERS,,,1,36.2575,0.0,0.0,0,1,1,5,1.75,0,0,5,0,ILLEGAL_FISHING,4,6978.994,0.0,4,6978.994,0.175,1.0,0.1812875,0.1,0.0,0,0.25,0.2778,MEDIUM
432856000,Unknown,JPN,DRIFTING_LONGLINES,,,1,29.66444444444445,0.0,0.0,0,1,1,4,1.4,0,0,4,0,ILLEGAL_FISHING,3,6529.751666666667,0.0,3,6529.751666666667,0.13999999999999999,1.0,0.14832222222222224,0.1,0.0,0,0.35,0.2776,MEDIUM
311000082,REM CETUS,BHS,OTHER_PURSE_SEINES,,,1,18.28722222222222,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4358.856388888889,0.0,1,4358.856388888889,0.02,1.0,0.09143611111111109,0.1,0.0,0,0.55,0.2694,MEDIUM
431101240,ISOMAE MARU NO.21,JPN,DRIFTING_LONGLINES,,,1,27.985000000000003,0.0,0.0,0,1,1,3,1.05,0,0,3,0,ILLEGAL_FISHING,2,5789.343333333333,0.0,2,5789.343333333333,0.10500000000000001,1.0,0.13992500000000002,0.1,0.0,0,0.35,0.2685,MEDIUM
257138000,SMARAGD,NOR,OTHER_PURSE_SEINES,,,1,29.52194444444445,0.0,0.0,0,1,1,4,1.4,0,0,4,0,ILLEGAL_FISHING,3,6529.8585416666665,0.0,3,6529.8585416666665,0.13999999999999999,1.0,0.14760972222222224,0.1,0.0,0,0.25,0.2624,MEDIUM
257327000,MALENE S,NOR,OTHER_PURSE_SEINES,,,1,26.949444444444435,0.0,0.0,0,1,1,3,1.05,0,0,3,0,ILLEGAL_FISHING,2,5790.033703703889,0.0,2,5790.033703703889,0.10500000000000001,1.0,0.13474722222222218,0.1,0.0,0,0.25,0.2522,MEDIUM
258425000,FISKESKJER,NOR,OTHER_PURSE_SEINES,,,1,25.383611111111108,0.0,0.0,0,1,1,3,1.05,0,0,3,0,ILLEGAL_FISHING,2,5791.077592592777,0.0,2,5791.077592592777,0.10500000000000001,1.0,0.12691805555555555,0.1,0.0,0,0.25,0.2502,MEDIUM
432306000,TAIWAMARU NO.78,JPN,DRIFTING_LONGLINES,,,1,17.63,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.185,0.0,1,4359.185,0.02,1.0,0.08814999999999999,0.1,0.0,0,0.35,0.2385,LOW
431749000,KOEI MARU NO.6,JPN,DRIFTING_LONGLINES,,,1,14.229722222222222,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4360.885138888889,0.0,1,4360.885138888889,0.02,1.0,0.0711486111111111,0.1,0.0,0,0.35,0.2343,LOW
258116000,OLA RYGGEFJORD,NOR,FISHING,,,1,17.48472222222222,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.257638888889,0.0,1,4359.257638888889,0.02,1.0,0.0874236111111111,0.1,0.0,0,0.25,0.2234,LOW
258217000,KROSSFJORD,NOR,FISHING,,,1,16.924722222222222,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.537638888889,0.0,1,4359.537638888889,0.02,1.0,0.08462361111111111,0.1,0.0,0,0.25,0.2227,LOW
259374000,Unknown,NOR,OTHER_PURSE_SEINES,,,1,16.368611111111107,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.8156944444445,0.0,1,4359.8156944444445,0.02,1.0,0.08184305555555554,0.1,0.0,0,0.25,0.222,LOW
258019000,VEA,NOR,OTHER_PURSE_SEINES,,,1,16.0575,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.97125,0.0,1,4359.97125,0.02,1.0,0.08028750000000001,0.1,0.0,0,0.25,0.2216,LOW
257127990,SELVAAG SENIOR,NOR,OTHER_PURSE_SEINES,,,1,14.046666666666667,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4360.9766666666665,0.0,1,4360.9766666666665,0.02,1.0,0.07023333333333333,0.1,0.0,0,0.25,0.2191,LOW
224047640,CACHACHO,ESP,TRAWLERS,,,1,4.233611111111111,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.021168055555555555,0.1,0.0,0,0.45,0.0848,LOW
231869000,RAN,FRO,TRAWLERS,,,1,11.51638888888889,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.05758194444444445,0.1,0.0,0,0.3,0.0714,LOW
431802000,SHOSHINMARU NO80,JPN,DRIFTING_LONGLINES,,,1,5.467777777777778,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.027338888888888892,0.1,0.0,0,0.35,0.0713,LOW
226347000,SCOMBRUS,FRA,TRAWLERS,,,1,3.1533333333333333,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.015766666666666665,0.1,0.0,0,0.35,0.0684,LOW
431588000,CHOKYU MARU NO.87,JPN,DRIFTING_LONGLINES,,,1,1.2094444444444445,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.006047222222222223,0.1,0.0,0,0.35,0.066,LOW
228378700,Unknown,FRA,TRAWLERS,,,1,0.23611111111111113,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.0011805555555555556,0.1,0.0,0,0.35,0.0648,LOW
250102700,PACELLI,IRL,TRAWLERS,,,1,11.8,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.059000000000000004,0.1,0.0,0,0.25,0.0642,LOW
232326000,Unknown,GBR,SET_LONGLINES,,,1,10.948888888888888,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.05474444444444444,0.1,0.0,0,0.25,0.0632,LOW
259454000,BRENNHOLM,NOR,OTHER_PURSE_SEINES,,,1,10.536111111111111,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.05268055555555556,0.1,0.0,0,0.25,0.0627,LOW
257180000,BOEMMELBAS,NOR,OTHER_PURSE_SEINES,,,1,10.498055555555554,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.052490277777777775,0.1,0.0,0,0.25,0.0626,LOW
257097470,GEIR,NOR,SET_LONGLINES,,,1,9.395,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.046974999999999996,0.1,0.0,0,0.25,0.0612,LOW
257852000,H.OESTERVOLD,NOR,PURSE_SEINES,,,1,7.79,0.0,0.0,0,1,0,1,0.1,0,0,0,1,ILLEGAL_FISHING,0,0.0,0.0,0,0.0,0.01,0.0,0.03895,0.1,0.0,0,0.25,0.0592,LOW
